Review ID,Employee ID,Review Date,Performance Score,Reviewer ID,Comments
R100000,E1482,2022-02-15,5,E1079,Strong team player and collaborator.
R100001,E1744,2022-07-19,3,E1026,Consistently delivers high-quality work.
R100002,E1297,2022-01-06,3,E1016,Demonstrated excellent problem-solving skills.
R100003,E1530,2023-02-10,4,E1067,Needs to improve punctuality.
R100004,E1347,2022-12-04,3,E1039,Consistently delivers high-quality work.
R100005,E1756,2024-08-02,4,E1058,Outstanding leadership and initiative.
R100006,E1127,2023-01-31,5,E1080,Consistently delivers high-quality work.
R100007,E2147,2022-05-12,2,E1087,Outstanding leadership and initiative.
R100008,E2115,2024-02-19,1,E1095,Met most objectives with room for improvement.
R100009,E2152,2024-10-15,3,E1009,Demonstrated excellent problem-solving skills.
R100010,E1076,2022-04-06,2,E1008,Met most objectives with room for improvement.
R100011,E2446,2022-01-21,1,E1000,Lacks attention to detail in some tasks.
R100012,E1066,2023-09-03,2,E1054,Lacks attention to detail in some tasks.
R100013,E1670,2022-02-03,2,E1000,Exceeded expectations in all areas.
R100014,E2427,2023-07-31,2,E1087,Met most objectives with room for improvement.
R100015,E1521,2023-11-13,2,E1086,Lacks attention to detail in some tasks.
R100016,E2318,2022-04-28,2,E1036,Exceeded expectations in all areas.
R100017,E2467,2022-09-26,4,E1001,Consistently delivers high-quality work.
R100018,E2249,2023-12-15,2,E1002,Lacks attention to detail in some tasks.
R100019,E1964,2024-01-14,5,E1076,Strong team player and collaborator.
R100020,E1991,2024-10-08,3,E1055,Consistently delivers high-quality work.
R100021,E1343,2023-06-10,2,E1063,Strong team player and collaborator.
R100022,E1764,2023-07-20,1,E1000,Consistently delivers high-quality work.
R100023,E2412,2023-09-14,2,E1004,Exceeded expectations in all areas.
R100024,E1420,2022-07-08,4,E1058,Met most objectives with room for improvement.
R100025,E1117,2023-03-26,3,E1066,Demonstrated excellent problem-solving skills.
R100026,E1154,2023-09-12,4,E1066,Strong team player and collaborator.
R100027,E1074,2023-10-10,4,E1018,Strong team player and collaborator.
R100028,E1533,2023-08-08,3,E1028,Strong team player and collaborator.
R100029,E1829,2024-07-22,5,E1076,Strong team player and collaborator.
R100030,E1404,2023-02-28,2,E1092,Demonstrated excellent problem-solving skills.
R100031,E2328,2024-02-22,5,E1047,Outstanding leadership and initiative.
R100032,E1050,2024-09-03,5,E1003,Exceeded expectations in all areas.
R100033,E1262,2024-08-25,2,E1076,Consistently delivers high-quality work.
R100034,E2461,2022-08-28,2,E1086,Lacks attention to detail in some tasks.
R100035,E2165,2023-01-16,3,E1055,Needs to improve punctuality.
R100036,E1203,2022-07-27,1,E1073,Outstanding leadership and initiative.
R100037,E2309,2023-02-04,3,E1054,Demonstrated excellent problem-solving skills.
R100038,E1251,2022-08-19,3,E1069,Exceeded expectations in all areas.
R100039,E1611,2023-09-11,4,E1073,Exceeded expectations in all areas.
R100040,E1798,2023-06-14,5,E1057,Needs to improve punctuality.
R100041,E1473,2022-10-04,4,E1082,Lacks attention to detail in some tasks.
R100042,E1175,2023-05-21,1,E1048,Demonstrated excellent problem-solving skills.
R100043,E2128,2024-03-06,4,E1078,Met most objectives with room for improvement.
R100044,E1877,2024-01-13,5,E1017,Met most objectives with room for improvement.
R100045,E1523,2024-02-17,3,E1043,Demonstrated excellent problem-solving skills.
R100046,E1057,2024-05-18,4,E1021,Outstanding leadership and initiative.
R100047,E2441,2022-04-21,1,E1077,Strong team player and collaborator.
R100048,E2496,2022-01-24,4,E1062,Lacks attention to detail in some tasks.
R100049,E2174,2022-10-27,4,E1010,Exceeded expectations in all areas.
R100050,E2294,2024-06-01,3,E1027,Consistently delivers high-quality work.
